,Benign Mean,Phishing Mean,Difference,Absolute Difference
url_length,21.800437443835943,56.95095359236494,35.15051614852899,35.15051614852899
path_length,0.0,17.54083777079021,17.54083777079021,17.54083777079021
query_length,0.0,10.059870115505554,10.059870115505554,10.059870115505554
hostname_length,13.800437443835941,20.659471929464186,6.859034485628245,6.859034485628245
num_digits,0.265026534868343,5.839935531783778,5.574908996915435,5.574908996915435
num_special_chars,4.223435460079012,8.860540079321188,4.6371046192421765,4.6371046192421765
path_entropy,0.0,2.169191047556759,2.169191047556759,2.169191047556759
num_slashes,2.0,3.603394061971653,1.603394061971653,1.603394061971653
num_dots,1.1082588718018278,1.959059522492771,0.8508006506909431,0.8508006506909431
num_hyphens,0.1151765882771834,0.9555042899805647,0.8403277017033813,0.8403277017033813
num_subdomains,0.10825887180182776,0.7831466177888033,0.6748877459869755,0.6748877459869755
fragment_length,0.0,0.5828053154676316,0.5828053154676316,0.5828053154676316
num_equals,0.0,0.4194226302400177,0.4194226302400177,0.4194226302400177
num_ampersands,0.0,0.2610488725962678,0.2610488725962678,0.2610488725962678
long_url,0.0,0.17573909333670423,0.17573909333670423,0.17573909333670423
num_question_marks,0.0,0.16006446821622133,0.16006446821622133,0.16006446821622133
hostname_entropy,3.240092236156637,3.394594715684499,0.15450247952786178,0.15450247952786178
brand_word_count,0.0022380847420268232,0.12362728522445368,0.12138920048242685,0.12138920048242685
num_percent_encoded,0.0,0.10529808649485677,0.10529808649485677,0.10529808649485677
very_long_url,0.0,0.08606822886216758,0.08606822886216758,0.08606822886216758
is_https,1.0,0.9187194842542702,-0.08128051574572981,0.08128051574572981
suspicious_word_count,0.008850607843469709,0.07360121351936416,0.06475060567589445,0.06475060567589445
is_shortener,1.6955187439597144e-05,0.0393761752018582,0.039359220014418606,0.039359220014418606
suspicious_tld,0.02653486834296953,0.055366820990092755,0.028831952647123224,0.028831952647123224
num_at_symbols,0.0,0.005893785453568663,0.005893785453568663,0.005893785453568663
has_port,0.0,0.0014536950716576864,0.0014536950716576864,0.0014536950716576864
has_ip,0.0,0.0012798837043942674,0.0012798837043942674,0.0012798837043942674
has_punycode,0.0013225046202885772,0.0008216537361543445,-0.0005008508841342327,0.0005008508841342327
has_userinfo,0.0,9.480620032550129e-05,9.480620032550129e-05,9.480620032550129e-05
